"min_temp","winter_season"
3.4,"2025-26"
3.1,"2025-26"
0.8,"2025-26"
6.7,"2025-26"
2.2,"2025-26"
0.4,"2025-26"
-1.6,"2025-26"
-2.3,"2025-26"
-2.3,"2025-26"
-5.3,"2025-26"
-4,"2025-26"
-3.8,"2025-26"
-9.5,"2025-26"
-8.3,"2025-26"
-0.5,"2025-26"
-8.6,"2025-26"
-10.5,"2025-26"
-7.2,"2025-26"
-6.6,"2025-26"
-8.9,"2025-26"
-8.1,"2025-26"
-9.3,"2025-26"
-10.6,"2025-26"
-8.4,"2025-26"
-5.6,"2025-26"
1.8,"2025-26"
1.9,"2025-26"
-3.4,"2025-26"
-3.1,"2025-26"
-4,"2025-26"
-4.8,"2025-26"
0.5,"2025-26"
-1.2,"2025-26"
-7.1,"2025-26"
-8.3,"2025-26"
-8.5,"2025-26"
-1.8,"2025-26"
-7.3,"2025-26"
-7.2,"2025-26"
-10.7,"2025-26"
-12.4,"2025-26"
-6.9,"2025-26"
-5.9,"2025-26"
-5,"2025-26"
-2.7,"2025-26"
-0.3,"2025-26"
0.8,"2025-26"
2.2,"2025-26"
3.4,"2025-26"
0.1,"2025-26"
-3.6,"2025-26"
-1.2,"2025-26"
1.1,"2025-26"
-9.8,"2025-26"
-13.3,"2025-26"
-10.6,"2025-26"
-8.7,"2025-26"
-9.5,"2025-26"
-11.7,"2025-26"
-13.6,"2025-26"
-10.3,"2025-26"
-9.3,"2025-26"
-18.1,"2025-26"
-17.9,"2025-26"
-13.2,"2025-26"
-14.1,"2025-26"
-13.2,"2025-26"
-11.1,"2025-26"
-17.9,"2025-26"
-19.1,"2025-26"
-15.3,"2025-26"
-15,"2025-26"
-12.1,"2025-26"
-9.7,"2025-26"
-11.9,"2025-26"
-10.5,"2025-26"
-18.2,"2025-26"
-19.6,"2025-26"
-19.9,"2025-26"
-15.7,"2025-26"
-4.2,"2025-26"
-4.9,"2025-26"
-9,"2025-26"
-9.3,"2025-26"
-1.4,"2025-26"
-1.3,"2025-26"
-1.9,"2025-26"
2.5,"2025-26"
-1.7,"2025-26"
-0.3,"2025-26"
1.7,"2025-26"
-1.1,"2025-26"
-1.8,"2025-26"
-11.1,"2025-26"
-13.8,"2025-26"
-5,"2025-26"
-5.4,"2025-26"
-3.8,"2025-26"
-6.2,"2025-26"
-11.2,"2025-26"
-11.3,"2025-26"
-4.2,"2025-26"
-1.3,"2025-26"
0.6,"2025-26"
-1,"2025-26"
4.5,"2025-26"
3.5,"2025-26"
6.7,"2025-26"
2.9,"2025-26"
0.2,"2025-26"
-2.8,"2025-26"
-2.1,"2025-26"
-2.3,"2025-26"
-0.8,"2025-26"
-8.1,"2025-26"
-9.7,"2025-26"
-5.9,"2025-26"
0,"2025-26"
0.6,"2025-26"
1.8,"2025-26"
1.4,"2025-26"
-3.6,"2025-26"
-4.3,"2025-26"
0.4,"2025-26"
-3,"2025-26"
-6.2,"2025-26"
-4.3,"2025-26"
1.3,"2025-26"
4,"2025-26"
4,"2025-26"
1.3,"2025-26"
1.2,"2025-26"
3.9,"2025-26"
2.4,"2025-26"
1.8,"2025-26"
-1.8,"2025-26"
-4.7,"2025-26"
-3,"2025-26"
6.6,"2025-26"
3,"2025-26"
1.9,"2025-26"
3.9,"2025-26"
7.9,"2025-26"
9.1,"2025-26"
6.8,"2025-26"
